s_id,s_nm,s_tenabili,s_wno,s_hh,s_pop,s_zno,s_addr,s_lat,s_lon
S14-190-51,"Pallikaranai ,Alagiri Street",Un-tenable,190,53,194,14,"Pallikaranai ,Alagiri Street, Ward 190, PER UNGUDI, Chennai, Tamil Nadu, India",12.9309949,80.20273
S14-189-36,Anna M.G.R.Nagar,Tenable,189,445,1681,14,"Anna M.G.R.Nagar, Ward 189, PER UNGUDI, Chennai, Tamil Nadu, India",12.9382664,80.2155741
S14-188-25,"Madipakkam,V.G.P Rajesh Nagar",Tenable,188,72,265,14,"Madipakkam,V.G.P Rajesh Nagar, Ward 188, PER UNGUDI, Chennai, Tamil Nadu, India",12.9452085,80.2063355
S15-198-31,Panayur Kuppam,Un-tenable,198,334,1112,15,"Panayur Kuppam, Ward 198, SOZHANGANALLUR, Chennai, Tamil Nadu, India",12.8793548,80.2164253
S14-191-52,"Nesavalar nagar , Part I",Tenable,191,338,1254,14,"Nesavalar nagar , Part I, Ward 191, PER UNGUDI, Chennai, Tamil Nadu, India",12.9133137,80.1997109
S14-191-55,"Nesavalar Nagar Part,II",Tenable,191,96,350,14,"Nesavalar Nagar Part,II, Ward 191, PER UNGUDI, Chennai, Tamil Nadu, India",12.9133137,80.1997109
S14-191-56,Anchaneyar Nagar,Tenable,191,289,1078,14,"Anchaneyar Nagar, Ward 191, PER UNGUDI, Chennai, Tamil Nadu, India",12.9214643,80.2053879
S14-191-57,Krishna Nagar,Tenable,191,35,123,14,"Krishna Nagar, Ward 191, PER UNGUDI, Chennai, Tamil Nadu, India",12.9231206,80.2083613
S15-199-33,Uthandi,Tenable,199,380,1384,15,"Uthandi, Ward 199, SOZHANGANALLUR, Chennai, Tamil Nadu, India",12.8693359,80.2435124
S15-199-34,Uthandi Colony,Tenable,199,52,192,15,"Uthandi Colony, Ward 199, SOZHANGANALLUR, Chennai, Tamil Nadu, India",12.8693359,80.2435124
S15-199-32,Nainar Kuppam,Un-tenable,199,368,1268,15,"Nainar Kuppam, Ward 199, SOZHANGANALLUR, Chennai, Tamil Nadu, India",12.8742342,80.24492
S15-198-30,Akkarai,Tenable,198,42,140,15,"Akkarai, Ward 198, SOZHANGANALLUR, Chennai, Tamil Nadu, India",12.9025794,80.2464401
S15-196-18,Bethel Nagar,Un-tenable,196,1540,5757,15,"Bethel Nagar, Ward 196, SOZHANGANALLUR, Chennai, Tamil Nadu, India",12.9224949,80.2453748
S15-196-20,Vettuvankani,Tenable,196,110,437,15,"Vettuvankani, Ward 196, SOZHANGANALLUR, Chennai, Tamil Nadu, India",12.937137,80.2565256
S15-192-3,Periya Neelangarai Kuppam,Tenable,192,257,796,15,"Periya Neelangarai Kuppam, Ward 192, SOZHANGANALLUR, Chennai, Tamil Nadu, India",12.9415091,80.2593131
S15-192-5,"Neelangarai ,Bharathiyar Nagar",Tenable,192,533,1905,15,"Neelangarai ,Bharathiyar Nagar, Ward 192, SOZHANGANALLUR, Chennai, Tamil Nadu, India",12.9464389,80.2485111
S15-192-4,"Neelangarai,Rajendran Nagar",Tenable,192,328,1238,15,"Neelangarai,Rajendran Nagar, Ward 192, SOZHANGANALLUR, Chennai, Tamil Nadu, India",12.9491687,80.2545891
S15-192-1,"Neelangarai,Mettu Colony",Un-tenable,192,67,204,15,"Neelangarai,Mettu Colony, Ward 192, SOZHANGANALLUR, Chennai, Tamil Nadu, India",12.9492127,80.2546826
S15-195-15,"Thuraipakkam ,Nehru Nagar",Tenable,195,145,508,15,"Thuraipakkam ,Nehru Nagar, Ward 195, SOZHANGANALLUR, Chennai, Tamil Nadu, India",12.9304537,80.2300401
S15-197-25,"Karapakkam, kadumbadi Nayakar Street",Tenable,197,79,263,15,"Karapakkam, kadumbadi Nayakar Street, Ward 197, SOZHANGANALLUR, Chennai, Tamil Nadu, India",12.8961034,80.2307602
S15-197-24,"Solingahanallur,Grama Nedunsalai",Tenable,197,58,180,15,"Solingahanallur,Grama Nedunsalai, Ward 197, SOZHANGANALLUR, Chennai, Tamil Nadu, India",12.9009877,80.2279301
S15-197-23,"Solingahanallur,Nehru Street",Tenable,197,39,116,15,"Solingahanallur,Nehru Street, Ward 197, SOZHANGANALLUR, Chennai, Tamil Nadu, India",12.9088931,80.2317031
S15-197-22,"Solingahanallur,Gandhi Street",Tenable,197,44,129,15,"Solingahanallur,Gandhi Street, Ward 197, SOZHANGANALLUR, Chennai, Tamil Nadu, India",12.9116356,80.2311675
S15-197-26,"Karapakkam , Mahatma Gandhi Street",Tenable,197,23,70,15,"Karapakkam , Mahatma Gandhi Street, Ward 197, SOZHANGANALLUR, Chennai, Tamil Nadu, India",12.91349,80.229135
S15-197-27,"Karapakkam,N S.K Street",Tenable,197,24,97,15,"Karapakkam,N S.K Street, Ward 197, SOZHANGANALLUR, Chennai, Tamil Nadu, India",12.91349,80.229135
S15-197-21,Karapakkam,Tenable,197,49,178,15,"Karapakkam, Ward 197, SOZHANGANALLUR, Chennai, Tamil Nadu, India",12.9190519,80.2300343
S15-195-16,"Okkiyampettai , Pillaiyar Koil Street",Tenable,195,79,280,15,"Okkiyampettai , Pillaiyar Koil Street, Ward 195, SOZHANGANALLUR, Chennai, Tamil Nadu, India",12.9239752,80.2365417
